,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
12,T Singye (BHU),201902019,2,2,0,17,11,8.5,25,68,0,0,0,2,0
13,OR Willis (Caym),201902019,3,3,0,17,15,5.66,32,53.12,0,0,0,0,1
14,Zain ul Tashnam (CRC),201902019,3,2,1,17,11,17,26,65.38,0,0,0,1,0
15,IKO Aboagye (Ghana),201902019,4,4,0,16,7,4,37,43.24,0,0,1,0,0
16,A Ahmadhel (),201902019,3,2,0,16,15,8,16,100,0,0,0,2,0
17,P Arrighi (Arg),201902019,5,4,0,16,11,4,46,34.78,0,0,1,0,0
18,J Barker (LUX),201902019,4,2,0,16,16,8,16,100,0,0,1,3,0
19,KK Bishnoi (),201902019,3,2,1,16,14,16,18,88.88,0,0,0,1,0
20,M Chauhan (Fin),201902019,2,2,0,16,15,8,8,200,0,0,0,0,2
21,U Dorji (BHU),201902019,2,2,0,16,8,8,17,94.11,0,0,0,2,0
22,CJ Ferguson (AUS),200902009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0
23,LF Goncalves (),201902019,3,2,0,16,13,8,21,76.19,0,0,0,1,0
24,EH Hutchinson (USA),201902019,2,1,0,16,16,16,8,200,0,0,0,3,0
25,LS Livingstone (ENG),201702017,2,2,0,16,16,8,19,84.21,0,0,1,1,0
26,Mehrab Hossain jnr (BDESH),200802009,2,2,1,16,10,16,25,64,0,0,0,1,0
27,K Modise (Botsw),201902019,3,3,0,16,10,5.33,16,100,0,0,1,2,1
28,Najmul Hossain Shanto (BDESH),201902019,2,2,0,16,11,8,17,94.11,0,0,0,1,0
29,F Nsubuga (UGA),201902019,3,3,1,16,9,8,15,106.66,0,0,0,0,2
30,JB Reva (PNG),201502019,9,4,0,16,7,4,22,72.72,0,0,0,1,1
31,BJ Rohrer (AUS),201302013,1,1,0,16,16,16,14,114.28,0,0,0,0,1
32,EHSN Silva (UAE),201402014,2,2,1,16,13*,16,22,72.72,0,0,0,1,0
33,DW Steyn (SA),200702019,44,10,5,16,5,3.2,23,69.56,0,0,1,1,0
34,Aamer Yamin (PAK),201502018,2,1,1,15,15*,0,6,250,0,0,0,1,1
35,AB Agarkar (INDIA),200602007,4,2,0,15,14,7.5,11,136.36,0,0,0,2,0
36,Anowarul Islam (THAI),201902019,4,4,0,15,9,3.75,20,75,0,0,1,1,1
37,NW Bracken (AUS),200602009,19,6,3,15,4*,5,22,68.18,0,0,1,1,0
38,TL Chatara (ZIM),201002019,21,3,0,15,8,5,18,83.33,0,0,1,1,0
39,K Christie (HKG),201902019,11,4,2,15,11*,7.5,20,75,0,0,0,0,0
40,GL Cloete (SA),201802019,2,2,0,15,13,7.5,15,100,0,0,0,2,0
41,SS Cottrell (WI),201402019,22,7,4,15,4*,5,22,68.18,0,0,1,2,0
42,N Dutta (CAN),201902019,11,3,2,15,12,15,13,115.38,0,0,0,1,0
43,KR Ebanks (Caym),201902019,5,4,0,15,8,3.75,27,55.55,0,0,1,1,0
44,J Hill (PHI),201902019,4,3,0,15,6,5,20,75,0,0,0,3,0
45,E Katchay (CAN),200802008,4,3,2,15,8*,15,25,60,0,0,1,0,0
46,AC Kose (TKY),201902019,4,4,0,15,15,3.75,33,45.45,0,0,3,3,0
47,Nasrulla Rana (HKG),201902019,8,4,2,15,7,7.5,24,62.5,0,0,1,0,0
48,RN Patel (KENYA),201902019,2,2,1,15,15*,15,25,60,0,0,1,1,0
49,LA Pomersbach (AUS),200702007,1,1,0,15,15,15,7,214.28,0,0,0,1,1
0,RW Price (ZIM),200802012,16,9,4,15,7*,3,28,53.57,0,0,1,1,0
1,Shabir Noori (AFG),201202012,1,1,0,15,15,15,18,83.33,0,0,0,1,0
2,J Smits (NL),200802009,6,2,1,15,11*,15,27,55.55,0,0,0,0,0
3,AO Suji (KENYA),200702010,8,5,2,15,7,5,29,51.72,0,0,0,0,0
4,MK Tiwary (INDIA),201102012,3,1,0,15,15,15,17,88.23,0,0,0,0,0
5,Usama Master (MWI),201902019,6,2,0,15,15,7.5,13,115.38,0,0,1,1,0
6,JDF Vandersay (SL),201502019,10,7,6,15,8*,15,17,88.23,0,0,0,2,0
7,VB van Jaarsveld (SA),200902009,3,3,0,15,12,5,23,65.21,0,0,1,0,0
8,Vikramjit Singh (NL),201902019,1,1,0,15,15,15,13,115.38,0,0,0,1,0
9,Abul Hasan (BDESH),201202018,5,2,0,14,9,7,11,127.27,0,0,0,2,0
10,CM Akachukwu (NGA),201902019,8,5,3,14,8,7,15,93.33,0,0,0,0,1
11,Aminul Islam (BDESH),201902019,4,3,2,14,9,14,14,100,0,0,0,2,0
12,Aqib Iqbal (Aut),201902019,5,1,0,14,14,14,6,233.33,0,0,0,0,1
13,SG Borthwick (ENG),201102011,1,1,0,14,14,14,16,87.5,0,0,0,2,0
14,G Dutta (Mex),201902019,7,6,0,14,8,2.33,28,50,0,0,3,1,0
15,ST Finn (ENG),201102015,21,3,3,14,8*,0,19,73.68,0,0,0,1,0
16,Ibrahim Zadran (AFG),201902019,3,3,0,14,11,4.66,26,53.84,0,0,0,0,1
17,P Jayeshbhai Patel (PNM),201902019,2,2,1,14,8*,14,11,127.27,0,0,0,0,0
18,T Langa (VAN),201902019,1,1,0,14,14,14,9,155.55,0,0,0,2,0
19,JAH Marshall (NZ),200502008,3,2,0,14,13,7,15,93.33,0,0,0,2,0
20,JWN Moses (Botsw),201902019,3,3,0,14,9,4.66,20,70,0,0,0,0,1
21,N Nankov (),201902019,3,2,1,14,14,14,20,70,0,0,0,1,0
22,AN Petersen (SA),201002010,2,2,0,14,8,7,19,73.68,0,0,0,1,0
23,VD Philander (SA),200702007,7,4,0,14,6,3.5,28,50,0,0,0,0,0
24,S Pillai (CRC),201902019,3,3,0,14,6,4.66,27,51.85,0,0,0,1,0
25,C Prasad (CRC),201902019,3,3,1,14,11,7,29,48.27,0,0,1,1,0
26,Rakibul Hasan (ITA),201902019,8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0
27,Ravinder Singh (MALTA),201902019,2,2,0,14,8,7,13,107.69,0,0,0,0,1
28,Saqlain Haider (UAE),201602016,6,5,1,14,7,3.5,35,40,0,0,0,0,0
29,Shahzad Muhammad (Mex),201902019,2,1,0,14,14,14,7,200,0,0,0,1,1
30,S Smith (BMUDA),201902019,5,3,3,14,7*,0,27,51.85,0,0,0,0,0
31,S Varathappan (KUW),201902019,3,3,0,14,9,4.66,14,100,0,0,1,3,0
32,VS Wategaonkar (OMAN),201602016,2,1,0,14,14,14,14,100,0,0,0,1,0
33,T Whiteman (LUX),201902019,4,2,1,14,14*,14,10,140,0,0,1,0,1
34,CM Wright (SCOT),200702009,3,1,0,14,14,14,18,77.77,0,0,0,0,0
35,Abdullah Sheikh (NOR),201902019,2,2,0,13,11,6.5,18,72.22,0,0,0,1,0
36,AR Adams (NZ),200502006,4,2,1,13,7,13,12,108.33,0,0,0,1,0
37,M Cope (LUX),201902019,2,2,1,13,13,13,15,86.66,0,0,0,2,0
38,J Edness (BMUDA),200802008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0
39,JA Fitzgerald (GIBR),201902019,4,2,2,13,11*,0,10,130,0,0,0,0,1
40,CR Foggo (BMUDA),200802008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0
41,SP Gauchan (NEPAL),201402015,9,5,2,13,6*,4.33,43,30.23,0,0,2,0,0
42,PA Hitchcock (NZ),200802008,1,1,0,13,13,13,11,118.18,0,0,0,1,1
43,SHT Kandamby (SL),200802011,5,4,0,13,10,3.25,21,61.9,0,0,1,0,0
44,SKW Kelly (BMUDA),200802008,3,2,2,13,11*,0,24,54.16,0,0,0,0,0
45,Z Khan (INDIA),200602012,17,4,2,13,9,6.5,10,130,0,0,0,0,1
46,Lucky Ali (DEN),201902019,2,2,0,13,7,6.5,18,72.22,0,0,0,1,0
47,JL Martel (GUE),201902019,3,1,1,13,13*,0,6,216.66,0,0,0,1,1
48,J Mees (LUX),201902019,3,3,2,13,7*,13,20,65,0,0,0,1,0
49,Mohammad Nawaz (3) (PAK),201602018,16,2,0,13,7,6.5,20,65,0,0,0,1,0
0,Mohammad Rafique (BDESH),200602006,1,1,0,13,13,13,5,260,0,0,0,3,0
1,Muhammad Hamayun (Saudi),201902019,4,2,0,13,8,6.5,10,130,0,0,0,1,1
2,HC Overdijk (NL),201802019,4,1,0,13,13,13,7,185.71,0,0,0,2,0
3,CMW Read (ENG),200602006,1,1,0,13,13,13,11,118.18,0,0,0,2,0
4,JA Richardson (AUS),201702019,9,3,2,13,7*,13,6,216.66,0,0,1,2,0
5,OFJ Tonuu (Samoa),201902019,4,3,1,13,6*,6.5,18,72.22,0,0,0,0,0
6,Usman Mushtaq (UAE),201602016,3,2,1,13,9,13,24,54.16,0,0,0,1,0
7,Washeem Abbas (MALTA),201902019,2,2,1,13,9*,13,7,185.71,0,0,0,0,1
8,J Anderson (IRE),201502015,4,2,0,12,9,6,18,66.66,0,0,0,1,0
9,Arslan Ahmed (PORT),201902019,3,3,0,12,11,4,32,37.5,0,0,1,1,0
10,Asad Mohammad (GER),201902019,9,4,1,12,5,4,12,100,0,0,0,2,0
11,Avi Dixit (SGP),201902019,1,1,1,12,12*,0,8,150,0,0,0,0,1
12,HMCM Bandara (SL),200602009,4,3,1,12,7,6,15,80,0,0,0,0,0
13,Fazal Niazai (AFG),201902019,1,1,0,12,12,12,15,80,0,0,0,1,0
14,CJ Gannon (USA),201902019,4,3,2,12,7*,12,9,133.33,0,0,0,0,1
15,R Gaznavi (SGP),201902019,2,2,0,12,8,6,12,100,0,0,0,2,0
16,H Helva (TKY),201902019,4,4,0,12,7,3,25,48,0,0,2,2,0
17,HJH Marshall (NZ),200502006,3,3,0,12,8,4,14,85.71,0,0,0,0,0
18,D Mejia (CRC),201902019,3,1,0,12,12,12,10,120,0,0,0,2,0
19,NV Ojha (INDIA),201002010,2,2,0,12,10,6,27,44.44,0,0,0,2,0
20,A Patel (MWI),201902019,2,2,1,12,6*,12,23,52.17,0,0,0,2,0
21,M Patel (Chile),201902019,3,3,0,12,8,4,15,80,0,0,1,1,1
22,KOA Powell (WI),201402014,1,1,0,12,12,12,14,85.71,0,0,0,1,0
23,Raag Kapur (HKG),201902019,4,3,1,12,6,6,16,75,0,0,0,1,0
24,R Rampaul (WI),200702015,23,6,5,12,8,12,21,57.14,0,0,0,0,0
25,MA Starc (AUS),201202019,28,6,2,12,4,3,18,66.66,0,0,0,0,0
26,Ali Ivan (Mald),201902019,1,1,0,11,11,11,39,28.2,0,0,0,0,0
27,Apon Mustafizur (Serb),201902019,2,2,0,11,11,5.5,28,39.28,0,0,1,2,0
28,Atif Kamal (LUX),201902019,4,3,0,11,11,3.66,18,61.11,0,0,2,1,0
29,A Bulow (DEN),201902019,2,1,0,11,11,11,13,84.61,0,0,0,0,1
30,JD Campbell (WI),201902019,2,2,0,11,11,5.5,16,68.75,0,0,1,2,0
31,A Djorovic (Serb),201902019,2,2,0,11,9,5.5,26,42.3,0,0,0,1,0
32,Fayyaz Ahmed (UAE),201502015,1,1,0,11,11,11,12,91.66,0,0,0,2,0
33,S Goustis (),201902019,3,1,0,11,11,11,19,57.89,0,0,0,0,0
34,AJ Hall (SA),200602006,2,1,0,11,11,11,10,110,0,0,0,1,0
35,Inzamam0ul0Haq (PAK),200602006,1,1,1,11,11*,0,15,73.33,0,0,0,0,1
36,Khurram Manzoor (PAK),201602016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0
37,KS Lokuarachchi (SL),201202012,2,2,0,11,11,5.5,13,84.61,0,0,1,1,0
38,WK McCallan (IRE),200802009,9,3,2,11,9*,11,15,73.33,0,0,1,1,0
39,OC McCoy (WI),201902019,2,2,1,11,10,11,10,110,0,0,0,1,1
40,Mahedi Hasan (BDESH),201802018,1,1,0,11,11,11,11,100,0,0,0,1,0
41,WJ Malinda (Mald),201902019,3,2,1,11,10*,11,9,122.22,0,0,0,0,1
42,AK Mandal (NEPAL),201502015,2,2,0,11,9,5.5,25,44,0,0,0,0,0
43,D Marks (MALTA),201902019,2,2,2,11,6*,0,12,91.66,0,0,0,0,0
44,BJ McCarthy (IRE),201702018,6,3,1,11,11*,5.5,7,157.14,0,0,2,0,1
45,AA Mulla (CAN),200802008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0
46,J Reb (Serb),201902019,2,2,0,11,9,5.5,14,78.57,0,0,0,1,0
47,Saqlain Arshad (QAT),201902019,2,1,0,11,11,11,10,110,0,0,0,0,1
48,V Shetty (UAE),201402014,2,2,1,11,10,11,13,84.61,0,0,0,1,0
49,Suresh Kumar (Peru),201902019,2,2,1,11,10*,11,15,73.33,0,0,0,0,0
0,SW Tait (AUS),200702016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1
1,P Taylor (CZK0R),201902019,7,2,1,11,7*,11,9,122.22,0,0,0,1,0
2,H Thaker (CAN),201902019,1,1,0,11,11,11,9,122.22,0,0,0,0,1
3,TCW Veillard (GUE),201902019,4,2,1,11,8,11,17,64.7,0,0,0,0,0
4,RM West (IRE),200902009,5,4,1,11,8,3.66,11,100,0,0,0,1,0
5,Yasir Shah (PAK),201102011,2,1,1,11,11*,-,7,157.14,0,0,0,1,0
6,Zeshan Arif (Aut),201902019,4,1,1,11,11*,0,8,137.5,0,0,0,2,0
7,Aftab Ahmed (2) (DEN),201902019,1,1,0,10,10,10,13,76.92,0,0,0,1,0
8,R Avery (),201902019,4,3,0,10,9,3.33,24,41.66,0,0,1,0,0
9,CS Baugh (WI),200802012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0
10,FH Edwards (WI),200702012,20,4,2,10,7*,5,9,111.11,0,0,1,1,0
11,N Pradeep (SL),201602019,14,6,5,10,8*,10,15,66.66,0,0,1,1,0
12,S Hallett (Peru),201902019,4,4,0,10,5,2.5,16,62.5,0,0,1,1,0
13,MJ Henry (NZ),201402017,6,2,1,10,10,10,5,200,0,0,0,2,0
14,S Jyoti (CAN),200802008,2,2,1,10,10*,10,20,50,0,0,1,0,0
15,G Kaltongga (VAN),201902019,3,2,0,10,10,5,12,83.33,0,0,1,1,0
16,RWT Key (ENG),200902009,1,1,1,10,10*,0,8,125,0,0,0,0,0
17,ZE Matsinhe (Moz),201902019,7,4,1,10,6*,3.33,17,58.82,0,0,1,0,1
18,Mohammad Ghazanfar (HKG),201902019,5,2,1,10,6*,10,10,100,0,0,0,1,0
19,S Nerandzic (Serb),201902019,2,2,0,10,5,5,33,30.3,0,0,0,1,0
20,M Ntini (SA),200502011,10,4,2,10,5,5,11,90.9,0,0,1,2,0
21,PP Ojha (INDIA),200902010,6,1,1,10,10*,0,6,166.66,0,0,0,0,1
22,BA Parchment (WI),200702007,1,1,0,10,10,10,6,166.66,0,0,0,1,1
23,SL Perera (Ghana),201902019,2,2,0,10,7,5,23,43.47,0,0,0,0,0
24,P Raho (PNG),201602016,2,2,2,10,8*,0,6,166.66,0,0,0,0,1
25,SHA Rance (NZ),201702019,8,3,0,10,8,3.33,21,47.61,0,0,0,0,0
26,A Rangaswamy (Botsw),201902019,4,3,0,10,7,3.33,13,76.92,0,0,1,0,1
27,D Ravu (PNG),201902019,17,4,1,10,6,3.33,9,111.11,0,0,1,1,0
28,GA Reynold (Blz),201902019,3,2,1,10,6*,10,10,100,0,0,0,0,1
29,ACL Richards (WI),200702007,1,1,0,10,10,10,15,66.66,0,0,0,1,0
30,ZE Surkari (CAN),200802008,4,3,0,10,6,3.33,33,30.3,0,0,1,0,0
31,SR Tendulkar (INDIA),200602006,1,1,0,10,10,10,12,83.33,0,0,0,2,0
32,MA Wood (ENG),201502019,5,2,2,10,5*,0,12,83.33,0,0,0,1,0
33,Zahoor Khan (UAE),201702019,18,5,2,10,6,3.33,19,52.63,0,0,0,1,0
34,Zakir Hasan (BDESH),201802018,1,1,0,10,10,10,9,111.11,0,0,0,1,0
35,Abdul Rashid (Belg),201902019,1,1,0,9,9,9,24,37.5,0,0,0,0,0
36,Afsar Zazai (AFG),201302013,1,1,0,9,9,9,21,42.85,0,0,0,0,0
37,Anam Mollik (ITA),201902019,2,1,0,9,9,9,10,90,0,0,0,1,0
38,P Arora (Mex),201902019,2,2,1,9,6*,9,4,225,0,0,0,0,1
39,HH Banner (Blz),201902019,3,2,1,9,6,9,10,90,0,0,0,0,1
40,JJ Celestine (BMUDA),200802008,3,3,0,9,7,3,17,52.94,0,0,1,0,0
41,FRJ Coleman (SCOT),201302013,1,1,0,9,9,9,13,69.23,0,0,0,1,0
42,BM Duckett (ENG),201902019,1,1,0,9,9,9,7,128.57,0,0,0,1,0
43,Elias Sunny (BDESH),201202012,7,4,2,9,5,4.5,9,100,0,0,0,1,0
44,H Hiri (PNG),201602019,5,4,0,9,4,2.25,15,60,0,0,0,0,0
45,Iqbal Hussain (QAT),201902019,15,5,3,9,4*,4.5,10,90,0,0,1,1,0
46,NA Janes (THAI),201902019,2,2,0,9,9,4.5,11,81.81,0,0,1,1,0
47,Kaleemullah (OMAN),201702019,6,2,0,9,9,4.5,7,128.57,0,0,1,0,1
48,JS Kundi (KENYA),201902019,6,4,0,9,6,2.25,22,40.9,0,0,1,1,0
49,R McLaren (SA),200902014,12,4,3,9,6*,9,13,69.23,0,0,0,0,0
0,Mohammad Asif (PAK),200602010,11,3,3,9,5*,0,3,300,0,0,0,2,0
1,Muhammad Asjed (ESP),201902019,2,1,0,9,9,9,9,100,0,0,0,1,0
2,Muhammad Wafiq (MAL),201902019,4,3,1,9,6*,4.5,12,75,0,0,1,1,0
3,JS Patel (NZ),200502008,11,4,1,9,5,3,14,64.28,0,0,1,1,0
4,WKD Perkins (WI),200802008,1,1,0,9,9,9,11,81.81,0,0,0,1,0
5,VRCF Poubel (),201902019,3,3,2,9,5*,9,15,60,0,0,0,0,0
6,A Poulose (OMAN),201702017,3,3,0,9,9,3,14,64.28,0,0,2,2,0
7,KW Richardson (AUS),201402019,15,2,0,9,9,4.5,8,112.5,0,0,1,0,0
8,IH Romaine (BMUDA),200802008,2,2,0,9,8,4.5,20,45,0,0,0,0,0
9,Sakib Hasan (Serb),201902019,2,2,0,9,8,4.5,7,128.57,0,0,0,1,0
10,MM Sarwar (KUW),201902019,5,3,1,9,8,4.5,9,100,0,0,1,0,1
11,RAJ Smith (SCOT),201902019,2,1,1,9,9*,0,7,128.57,0,0,0,1,0
12,B Stanlake (AUS),201702019,19,2,1,9,7,9,12,75,0,0,0,0,1
13,Syazrul Idrus (MAL),201902019,2,1,1,9,9*,0,8,112.5,0,0,0,1,0
14,Usman Ali (Saudi),201902019,5,2,1,9,7,9,14,64.28,0,0,0,1,0
15,T Wangchuk jnr (BHU),201902019,2,2,0,9,9,4.5,17,52.94,0,0,1,2,0
16,S Waqas Ahmed (NOR),201902019,5,3,1,9,8*,4.5,20,45,0,0,1,0,0
17,Abbas Saad (Saudi),201902019,2,2,0,8,8,4,8,100,0,0,1,1,0
18,S Appu (MALTA),201902019,4,4,1,8,6,2.66,14,57.14,0,0,0,0,0
19,B Banerjee (Mex),201902019,6,4,2,8,6*,4,18,44.44,0,0,2,0,0
20,AM Blignaut (ZIM),201002010,1,1,0,8,8,8,8,100,0,0,0,1,0
21,GH Bodi (SA),200702007,1,1,0,8,8,8,25,32,0,0,0,0,0
22,JJ Bumrah (INDIA),201602019,42,6,4,8,7,4,13,61.53,0,0,1,1,0
23,Charanjeet Singh (ITA),201902019,3,2,2,8,8*,0,9,88.88,0,0,0,1,0
24,H Dandapani (Fin),201902019,5,3,2,8,5,8,15,53.33,0,0,0,0,0
25,AS Dean (CAN),200802013,2,2,0,8,7,4,10,80,0,0,0,0,0
26,B Fernando (SL),201502015,2,1,1,8,8*,0,12,66.66,0,0,0,1,0
27,JD Freyone (GIBR),201902019,4,4,0,8,4,2,29,27.58,0,0,2,0,0
28,Hamza Dar (ESP),201902019,1,1,0,8,8,8,6,133.33,0,0,0,1,0
29,HMRKB Herath (SL),201102016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0
30,E Isaneez (UGA),201902019,3,2,2,8,7*,0,13,61.53,0,0,0,0,0
31,S Randiv (SL),201002011,7,2,0,8,6,4,6,133.33,0,0,0,1,0
32,N Khanna (MALTA),201902019,2,2,0,8,6,4,12,66.66,0,0,0,1,0
33,Khushdil Shah (PAK),201902019,1,1,0,8,8,8,11,72.72,0,0,0,0,0
34,Kuldeep Singh (PHI),201902019,4,3,0,8,6,2.66,16,50,0,0,0,0,0
35,NCK Liyanage (MAL),201902019,6,3,1,8,8,4,8,100,0,0,1,1,0
36,BAW Mendis (SL),200802014,39,8,5,8,4*,2.66,17,47.05,0,0,0,1,0
37,M Mooketsi (Botsw),201902019,7,5,0,8,3,1.6,24,33.33,0,0,1,0,0
38,Mujeeb Ur Rahman (AFG),201802019,16,3,3,8,8*,0,8,100,0,0,0,1,0
39,WA Peatfield (GUE),201902019,8,2,1,8,7*,8,12,66.66,0,0,0,1,0
40,CAK Rajitha (SL),201602019,10,4,2,8,5,4,23,34.78,0,0,1,0,0
41,Shahadat Hossain (BDESH),200602013,6,5,3,8,4*,4,12,66.66,0,0,1,0,0
42,I Sharma (INDIA),200802013,14,3,2,8,5*,8,9,88.88,0,0,1,1,0
43,Simranjit Singh (ITA),201902019,1,1,0,8,8,8,9,88.88,0,0,0,0,0
44,O Thomas (WI),201802019,10,4,2,8,8*,4,11,72.72,0,0,2,2,0
45,R Vishwanath (LUX),201902019,2,2,0,8,5,4,10,80,0,0,0,1,0
46,BV Vitori (ZIM),201202016,11,2,2,8,7*,0,7,114.28,0,0,0,0,0
47,Yasar Idrees (KUW),201902019,1,1,0,8,8,8,4,200,0,0,0,0,1
48,Al0Amin Hossain (BDESH),201302019,28,6,4,7,5*,3.5,12,58.33,0,0,1,1,0
49,RP Arnold (SL),200602006,1,1,0,7,7,7,7,100,0,0,0,0,0
0,Aslam Mohammad (),201902019,3,1,0,7,7,7,8,87.5,0,0,0,1,0
1,PRP Boissevain (NL),201902019,4,2,1,7,7*,7,7,100,0,0,1,1,0
2,NB Budayair (NEPAL),201402014,4,3,1,7,5,3.5,19,36.84,0,0,1,0,0
3,MA Carberry (ENG),201402014,1,1,0,7,7,7,7,100,0,0,0,1,0
4,PKD Chase (IRE),201802019,12,5,4,7,4,7,13,53.84,0,0,0,1,0
5,DK Dahyabhai Ahir (PNM),201902019,2,1,0,7,7,7,10,70,0,0,0,1,0
6,P Danci (ROM),201902019,2,2,1,7,5,7,11,63.63,0,0,0,1,0
7,DC Delany (IRE),201902019,8,2,0,7,7,3.5,6,116.66,0,0,1,0,0
8,P Kumar (INDIA),200802012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
9,Kushal Malla (NEPAL),201902019,3,2,0,7,5,3.5,15,46.66,0,0,0,1,0
10,RAS Lakmal (SL),201102019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0
11,ND McKenzie (SA),200602009,2,1,1,7,7*,0,8,87.5,0,0,0,0,0
12,S Mahmood (ENG),201902019,3,2,1,7,4,7,7,100,0,0,0,1,0
13,A Nao (PNG),201702017,2,2,2,7,7*,0,4,175,0,0,0,1,0
14,Naveen0ul0Haq (AFG),201902019,4,2,1,7,5,7,7,100,0,0,0,1,0
15,J Nyumbu (ZIM),201802018,2,2,2,7,6*,0,11,63.63,0,0,0,1,0
16,Qadeer Ahmed (UAE),201502019,10,4,3,7,5*,7,12,58.33,0,0,1,1,0
17,LH Rodrigues (),201902019,4,3,2,7,4*,7,12,58.33,0,0,1,1,0
18,GA Rogers (SCOT),200802009,2,2,2,7,6*,0,8,87.5,0,0,0,0,0
19,E Schiferli (NL),200802010,7,3,1,7,5*,3.5,16,43.75,0,0,1,0,0
20,JN Snape (ENG),200702007,1,1,0,7,7,7,11,63.63,0,0,0,0,0
21,Suhail Sadiq (LUX),201902019,2,1,1,7,7*,0,5,140,0,0,0,0,1
22,Sumair Khan (MALTA),201902019,1,1,0,7,7,7,6,116.66,0,0,0,1,0
23,Syed Rasel (BDESH),200702008,8,3,1,7,6,3.5,9,77.77,0,0,0,1,0
24,Tanveer Ahmed (HKG),201602017,5,2,1,7,7*,7,11,63.63,0,0,1,1,0
25,LV van Beek (NL),201402016,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0
26,Adnan Mufti (UAE),201702017,1,1,1,6,6*,0,7,85.71,0,0,0,0,0
27,U Aryaman Sunil (SGP),201902019,2,1,0,6,6,6,4,150,0,0,0,0,1
28,TS Braat (NL),201902019,3,2,0,6,5,3,7,85.71,0,0,0,1,0
29,DG Brownlie (NZ),201002014,5,5,0,6,5,1.2,18,33.33,0,0,3,1,0
30,DE Burgess (Samoa),201902019,4,4,0,6,3,1.5,12,50,0,0,2,0,0
31,SDJJ Dima (Moz),201902019,4,2,0,6,3,3,8,75,0,0,0,0,0
32,RMS Eranga (SL),201202013,3,1,0,6,6,6,7,85.71,0,0,0,1,0
33,L Evile (Samoa),201902019,4,1,0,6,6,6,7,85.71,0,0,0,1,0
34,NM Hauritz (AUS),200902009,3,2,0,6,4,3,10,60,0,0,0,1,0
35,R Hekure (PNG),201902019,8,4,1,6,2*,2,12,50,0,0,0,0,0
36,PJ Hughes (AUS),201402014,1,1,0,6,6,6,8,75,0,0,0,1,0
37,Javed Ahmadi (AFG),201202017,3,2,0,6,6,3,7,85.71,0,0,1,1,0
38,Jay Odedra (OMAN),201902019,3,1,1,6,6*,0,6,100,0,0,0,0,0
39,D Maisuria (Botsw),201902019,6,3,2,6,6*,6,11,54.54,0,0,1,0,0
40,I Master (Botsw),201902019,2,2,0,6,4,3,8,75,0,0,0,1,0
41,Z McLaughlin (Caym),201902019,3,2,2,6,4*,0,16,37.5,0,0,0,0,0
42,KO Meth (ZIM),201202012,2,1,1,6,6*,0,6,100,0,0,0,0,0
43,J Mulder (IRE),201602017,8,4,2,6,5*,3,11,54.54,0,0,1,0,0
44,GBW Munaweera (QAT),201902019,5,1,1,6,6*,0,7,85.71,0,0,0,0,0
45,L Ngidi (SA),201702018,7,2,1,6,4,6,9,66.66,0,0,0,0,0
46,Omar Hayat (DEN),201902019,2,2,0,6,5,3,4,150,0,0,0,0,0
47,JA Rudolph (SA),200602006,1,1,1,6,6*,0,7,85.71,0,0,0,0,0
48,Shoaib Ali (Saudi),201902019,5,2,0,6,6,3,10,60,0,0,1,0,0
49,OF Smith (WI),201802018,2,1,0,6,6,6,5,120,0,0,0,1,0
0,R Strydom (IRE),200802008,4,2,1,6,5*,6,7,85.71,0,0,0,0,0
1,HER Tyler (PHI),201902019,2,1,0,6,6,6,9,66.66,0,0,0,0,0
2,TC Vine (ESP),201902019,6,1,1,6,6*,0,7,85.71,0,0,0,1,0
3,CA Young (IRE),201502019,26,7,5,6,2*,3,11,54.54,0,0,0,0,0
4,SA Abbott (AUS),201402019,4,1,0,5,5,5,8,62.5,0,0,0,1,0
5,M Ansari (OMAN),201502016,11,4,4,5,3*,0,10,50,0,0,0,0,0
6,Anwar Rahman (MAL),201902019,9,4,1,5,3*,1.66,8,62.5,0,0,1,0,0
7,Arslan Ahmed (),201902019,3,1,0,5,5,5,13,38.46,0,0,0,0,0
8,MS Atapattu (SL),200602006,2,1,0,5,5,5,8,62.5,0,0,0,0,0
9,Atif Mehmood (ESP),201902019,9,2,2,5,5*,0,8,62.5,0,0,0,0,0
10,MA Baig (MWI),201902019,7,4,0,5,5,1.25,12,41.66,0,0,3,1,0
11,A Bhagwat (HKG),201902019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0
12,A Bohara (NEPAL),201902019,17,5,2,5,3*,1.66,12,41.66,0,0,2,0,0
13,IG Butler (NZ),200902013,19,6,5,5,2*,5,10,50,0,0,0,0,0
