,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
5,WW Hinds (WI),200602010,5,5,1,30,14,7.5,41,73.17,0,0,1,3,0
6,LC Le Tissier (GUE),201902019,9,7,2,30,9,6,29,103.44,0,0,0,2,0
7,Mian Mehmood (PORT),201902019,4,4,0,29,13,7.25,41,70.73,0,0,1,1,1
8,SH Obed (VAN),201902019,12,7,2,29,9,5.8,41,70.73,0,0,0,1,0
9,S Rossi (Arg),201902019,5,4,1,29,13,9.66,27,107.4,0,0,0,2,1
10,J Salazar (Peru),201902019,2,2,1,29,20*,29,36,80.55,0,0,0,0,0
11,Taskin Ahmed (BDESH),201402018,19,6,3,29,15*,9.66,31,93.54,0,0,1,3,1
12,DT Tiripano (ZIM),201602019,10,6,2,29,14,7.25,34,85.29,0,0,2,0,2
13,C Zavoiu (ROM),201902019,3,2,0,29,27,14.5,39,74.35,0,0,0,3,0
14,Ahsan Malik (NL),201202017,31,8,5,28,11*,9.33,30,93.33,0,0,1,1,1
15,KK Ahuja (Mex),201902019,8,7,0,28,8,4,50,56,0,0,1,1,1
16,Amjad Khan (UAE),201502016,4,3,0,28,24,9.33,30,93.33,0,0,0,3,1
17,EJB Miles (JER),201902019,14,4,2,28,16,14,31,90.32,0,0,0,1,0
18,A Nehra (INDIA),200902017,27,5,0,28,22,5.6,39,71.79,0,0,3,1,2
19,PJ Ongondo (KENYA),200702008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2
20,CW Perchard (JER),201902019,15,5,2,28,12,9.33,35,80,0,0,0,0,0
21,R Pillai (GER),201902019,6,5,1,28,14,7,44,63.63,0,0,1,1,0
22,Sharafuddin Ashraf (AFG),201502019,8,4,1,28,18,9.33,29,96.55,0,0,0,1,1
23,Ahmed Wardak (GER),201902019,9,4,2,27,20*,13.5,38,71.05,0,0,0,1,0
24,TP Allen (USA),201902019,5,3,1,27,11*,13.5,17,158.82,0,0,0,0,3
25,G Bakiweyem (Ghana),201902019,3,2,1,27,15*,27,30,90,0,0,0,0,0
26,TC Barker (LUX),201902019,4,4,0,27,18,6.75,33,81.81,0,0,0,1,0
27,NE Bonner (WI),201102012,2,2,0,27,24,13.5,38,71.05,0,0,0,2,0
28,DT Christian (AUS),201002017,16,7,3,27,9,6.75,28,96.42,0,0,1,2,0
29,RM Dorji (BHU),201902019,1,1,0,27,27,27,23,117.39,0,0,0,0,4
30,H Fennell (Arg),201902019,5,5,2,27,25*,9,23,117.39,0,0,3,4,1
31,S Hongsi (THAI),201902019,3,3,3,27,11*,0,16,168.75,0,0,0,3,1
32,Mohammad Iqbal (CAN),200802008,3,3,0,27,22,9,39,69.23,0,0,0,1,0
33,Nadif Chowdhury (BDESH),200602007,3,3,0,27,12,9,23,117.39,0,0,0,2,0
34,SS Pathirana (SL),201602017,5,5,0,27,14,5.4,24,112.5,0,0,0,3,0
35,Shapoor Zadran (AFG),201002018,34,13,6,27,13,3.85,65,41.53,0,0,3,0,3
36,Shoaib Qureshi (Fin),201902019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0
37,MP Vaughan (ENG),200502007,2,2,0,27,27,13.5,22,122.72,0,0,1,4,0
38,Waqas Ali (Belg),201902019,2,2,0,27,14,13.5,31,87.09,0,0,0,0,2
39,Zulfiqar Babar (PAK),201302014,7,3,3,27,13*,0,27,100,0,0,0,2,1
40,Arsalan Arif (Aut),201902019,2,1,1,26,26*,0,11,236.36,0,0,0,5,0
41,TB de Bruyn (SA),201702017,2,2,0,26,19,13,16,162.5,0,0,0,3,1
42,D Ganga (WI),200602006,1,1,0,26,26,26,31,83.87,0,0,0,3,1
43,R Goodwin (PHI),201902019,4,4,1,26,16*,8.66,36,72.22,0,0,1,1,0
44,Izatullah Dawlatzai (AFG/GER),201202019,14,3,2,26,24*,26,16,162.5,0,0,0,2,2
45,G Kansonkho (MWI),201902019,6,3,1,26,22,13,21,123.8,0,0,1,4,0
46,TJ Murtagh (IRE),201202016,14,5,3,26,12*,13,25,104,0,0,0,0,1
47,LN Oluoch (KENYA),201302019,10,6,3,26,7*,8.66,33,78.78,0,0,0,2,0
48,E Otieno (KENYA),201202019,18,8,3,26,8,5.2,48,54.16,0,0,1,0,1
49,TK Saha (Fin),201902019,4,4,3,26,18*,26,23,113.04,0,0,0,1,0
0,Washington Sundar (INDIA),201702019,18,5,3,26,14*,13,12,216.66,0,0,1,1,3
1,C Wright (Caym),201902019,6,5,2,26,16*,8.66,31,83.87,0,0,1,2,0
2,P Agnihotri (NOR),201902019,2,2,0,25,19,12.5,36,69.44,0,0,0,2,0
3,Asrar Ahmed (),201902019,3,1,0,25,25,25,27,92.59,0,0,0,2,0
4,RA Bhatti (CAN),201202012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0
5,AM Ellis (NZ),201202013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1
6,CRD Fernando (SL),200602016,18,7,2,25,21,5,27,92.59,0,0,2,4,0
7,G Goudie (SCOT),201002013,9,6,2,25,9*,6.25,20,125,0,0,0,2,1
8,T Jamtsho (BHU),201902019,2,2,1,25,19,25,27,92.59,0,0,0,1,1
9,JH Kiani (PHI),201902019,4,3,1,25,13,12.5,36,69.44,0,0,0,2,0
10,RK Kleinveldt (SA),200802013,6,3,2,25,22,25,10,250,0,0,0,1,3
11,WP Masakadza (ZIM),201502019,12,6,3,25,6*,8.33,30,83.33,0,0,0,2,0
12,G Murali (CRC),201902019,3,3,0,25,14,8.33,44,56.81,0,0,0,1,0
13,PM Nevill (AUS),201602016,9,5,4,25,10*,25,11,227.27,0,0,0,1,2
14,SA Okpe (NGA),201902019,8,6,1,25,12,5,46,54.34,0,0,0,1,0
15,C Pengkumta (THAI),201902019,4,3,2,25,18,25,31,80.64,0,0,0,2,0
16,Raza0ur0Rehman (CAN),201202013,5,4,0,25,10,6.25,29,86.2,0,0,0,3,0
17,Shahbaz Badar (BAH),201902019,3,3,0,25,16,8.33,32,78.12,0,0,1,3,0
18,Shahriar Nafees (BDESH),200602006,1,1,0,25,25,25,17,147.05,0,0,0,3,1
